Date,Time,ID,Name,Comments
2021/12/07,15:21:56:18,1201221,FANTA_MARCH TVC_0030,New Clip
2021/12/07,15:22:26:19,1274892,GEN_KWETU MIX_LATEST_0039,(null)
2021/12/07,15:23:06:03,1169617,NMG Corona PSA 5 BEST,New Clip
2021/12/07,15:23:46:03,1292667,09122021-THAMANI EPS -0048,New Clip
2021/12/07,15:24:34:17,1217256,NMG Covid Safety measures BEST 1,(null)
2021/12/07,15:25:52:18,1292874,Along Came Love_BREAK BUMPER_XMAX,(null)
2021/12/07,15:26:00:04,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,15:26:16:18,1215991,ALONG CAME LOVE_EPS 136_PT 2_DUR 1333,New Clip
2021/12/07,15:39:50:17,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,15:40:04:08,1292868,ALONG CAME LOVE_THE FOOTBALL REVIEW SHOW_NUTRI VENTURES_UPNEXT_XMAS,(null)
2021/12/07,15:40:11:16,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,15:40:26:03,1292587,JUICY_071221_TNT_QUEEN OF FLOW_0056,New Clip
2021/12/07,15:41:22:05,1252467,WADR ON ELECTIONS,New Clip
2021/12/07,15:42:05:09,1283025,RUFFTONE_MUNGU BABA,New Clip
2021/12/07,15:42:50:09,1293234,091221_NLF GBV_PROMO_0046ggd,New Clip
2021/12/07,15:43:36:23,1292600,SPRITE_091221_NXT_FOOTBALL REVIEW_0044,New Clip
2021/12/07,15:44:21:00,1292390,THE EAST AFRICAN DEC 4TH,New Clip
2021/12/07,15:45:18:01,1291003,SAFARICOM_MTN BOARD 3_0015,(null)
2021/12/07,15:45:33:00,1292874,Along Came Love_BREAK BUMPER_XMAX,(null)
2021/12/07,15:45:40:11,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
2021/12/07,15:45:57:00,1292914,ALONG CAME LOVE_EPS 136_PT 3_DUR 0839GD,New Clip
2021/12/07,15:54:36:00,1292757,NTV Christmas Ident 15sec  music  only,(null)
2021/12/07,15:54:49:16,1277725,THE FOOTBALL REVIEW_COMING UP,New Clip
2021/12/07,15:54:56:17,1291801,COMING UP WITH EQUITY BANK,(null)
2021/12/07,15:55:15:13,1292879,07122021_pgmguide_guides_1900_xmax,(null)
2021/12/07,15:55:31:01,1292677,NTV  PROGRAMME GUIDE WITH JAMBO CREEK,(null)
2021/12/07,15:55:47:12,1292906,SPRITE_071221_NXT_RETURN OF LUCAS_0054 GD,New Clip
2021/12/07,15:56:42:00,1232414,LEARN INA MINUTE_EPS 18_CUSTODY_0101,New Clip
2021/12/07,15:57:43:20,1292928,NIVEA_081221_NXT_PIECES OF US_0046 GOOD,New Clip
2021/12/07,15:58:30:04,1292674,JAMBO CREEK_DEC TVC_0060,(null)
2021/12/07,15:59:29:18,1285363,SAFARICOM_JIONEE BOARD NEW_0025,(null)
2021/12/07,15:59:54:22,1292758,NTV Christmas Ident 15sec music VO and tag,(null)
2021/12/07,16:00:10:22,846289,PG RATINGS NEW_GE,(null)
2021/12/07,16:00:20:10,1292643,061221_THE FOOTBALL REVIEW_PT 1_DUR 1200,New Clip
2021/12/07,16:12:20:14,1164947,NTV Social Media 2020 Christmas,New Clip
2021/12/07,16:12:36:18,1292873,THE FOOTBALL REVIEW SHOW_NUTRI VENTURES_KWETU MIXX_UPNEXT_XMAS,(null)
2021/12/07,16:12:44:01,1285986,UP NEXT WITH STARTIMES  CHRISTMAS,(null)
2021/12/07,16:12:58:14,1293262,091221_NLF ICRW_PROMO_0108 FINAL,New Clip
2021/12/07,16:14:07:05,1292587,JUICY_071221_TNT_QUEEN OF FLOW_0056,New Clip
2021/12/07,16:15:03:07,1292861,The Football Review Show_BREAK BUMPER_XMAX,(null)
2021/12/07,16:15:10:18,1292265,GLAD YOU ARE WATCHING WITH KMC,New Clip
