Date,Time,ID,Name,Comments
2021/11/04,20:27:59:00,1279123,SAFARICOM_MTN SWA TVC_0063,(null)
2021/11/04,20:29:02:13,1127389,ROYCO_AUG TVC_0030,New Clip
2021/11/04,20:29:32:13,1262733,MINUTE MAID_SEPT TVC 2_0015,(null)
2021/11/04,20:29:47:13,1281012,JUMIA_NOV TVC NEW_0030,(null)
2021/11/04,20:30:17:14,1281778,KEFRI_NOV TVC_0028,(null)
2021/11/04,20:30:45:20,1281828,SPRITE_051121_NXT_WICKED EDITION_0055,(null)
2021/11/04,20:31:41:03,1281826,TOP 40 UNDER 40_PROMO_0050 FINALmov,New Clip
2021/11/04,20:32:29:22,847723,NTV_STING_MUSIC AND VO_8secs_FINALmov,New Clip
2021/11/04,20:32:39:05,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,20:34:50:12,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,20:34:53:23,1201221,FANTA_MARCH TVC_0030,New Clip
2021/11/04,20:35:23:24,1279375,HARPIC_JUMIA TAG_0043,(null)
2021/11/04,20:36:07:16,1279378,JIK_JUMIA TAG_0026,New Clip
2021/11/04,20:36:34:08,1279967,MOLFIX PANTS_NOV TVC_0035,New Clip
2021/11/04,20:37:09:16,1279335,COKE_AWAKENING TVC_0060,(null)
2021/11/04,20:38:09:16,1281826,TOP 40 UNDER 40_PROMO_0050 FINALmov,New Clip
2021/11/04,20:38:58:12,1281841,FANTA_061121_NXT_TEEN_0050,(null)
2021/11/04,20:39:49:03,1248048,A PLACE IN YOUR HEART_Break Bumper,New Clip
2021/11/04,20:39:56:14,1281904,A PLACE IN UR HEART_EPS 49_PT 3_DUR 1148_2SQZS,New Clip
2021/11/04,20:51:45:08,847720,NTV_STATION ID_MUSIC ONLY_FINAL mov,New Clip
2021/11/04,20:52:00:04,1273591,SPRITE_OCT TVC_0030,(null)
2021/11/04,20:52:30:04,1280019,KRA_NOV TVC_0034,New Clip
2021/11/04,20:53:05:03,1273576,BOMA MABATI_OCTOBER TVC NEW_0032,(null)
2021/11/04,20:53:37:06,1269818,STARTIMES_SEPTEMBER TVC NEW_0036,(null)
2021/11/04,20:54:13:13,1279901,TECNO_CUTDOWN__0015,(null)
2021/11/04,20:54:28:12,1276322,SPRITE_NBA BOARD_0027,(null)
2021/11/04,20:54:56:09,1281826,TOP 40 UNDER 40_PROMO_0050 FINALmov,New Clip
2021/11/04,20:55:45:04,1281828,SPRITE_051121_NXT_WICKED EDITION_0055,(null)
2021/11/04,20:56:40:11,1109714,NTV_STATION ID_MUSIC AND VOICE IDENT _FINAL mov,New Clip
2021/11/04,20:56:56:11,1274392,9 PM CLOCK WITH SAMSUNG KCB,(null)
2021/11/04,20:57:30:04,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:17:32:21,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:17:36:07,1281192,DETTOL SUMMER_JUMIA TAG_0032,New Clip
2021/11/04,21:18:08:17,1281713,CROWN PAINTS _NOV TVC_0060,New Clip
2021/11/04,21:19:09:15,1281778,KEFRI_NOV TVC_0028,(null)
2021/11/04,21:19:37:21,1262733,MINUTE MAID_SEPT TVC 2_0015,(null)
2021/11/04,21:19:52:21,1274840,EU_OCTOBER TVC_0030,(null)
2021/11/04,21:20:22:22,1281109,COOP BANK_INTERNET BANKING TVC_0033,New Clip
2021/11/04,21:20:56:20,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:21:00:10,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:30:37:15,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:30:41:01,1281547,BETAPAWA_TVC 5_0030,(null)
2021/11/04,21:31:11:01,1274838,MUTHOKINJU_OCT TVC_0048,New Clip
2021/11/04,21:31:59:12,1275355,CHAMS_HASS PETROLEUM TVC NEW_0033,(null)
2021/11/04,21:32:32:20,1281012,JUMIA_NOV TVC NEW_0030,(null)
2021/11/04,21:33:02:21,1275388,ODIBETS_DONDOKA TVC_0059,New Clip
2021/11/04,21:34:02:15,1279240,TRIPPLE SENDY__OCT TVC NEW__0030,(null)
2021/11/04,21:35:10:22,1281194,DETTOL ASL_JUMIA TAG_0034,New Clip
2021/11/04,21:35:45:21,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:35:49:11,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:43:07:21,847722,NTV_COMMERCIAL_STING_3sec_FINAL mov,New Clip
2021/11/04,21:43:11:07,1279901,TECNO_CUTDOWN__0015,(null)
2021/11/04,21:43:26:06,1279375,HARPIC_JUMIA TAG_0043,(null)
